fil_1: greenwich council; certified platinum; scheduled castes; outdoor clay courts; loved ones; 
fil_10: chronic berylliosis; st petersburg; living in paris; york times book review; differential diagnosis; 
fil_100: population were below the poverty; population were below; those age 65; those under age 18; racial makeup of the town; 
fil_1001: shiblee colleges; moon of baroda; boston housing authority; never notified; southern reaches; 
fil_1002: scotti brothers; similar compilation album; odd elements; bulgarian poet; manner similar; 
fil_1003: mycology and forest pathology; freiherr of weissenau; forest pathology; island at the mouth; republican politician; 
fil_1005: pulmonary disease; marble statue; quebec nordiques; group's name; 1966 to 1968; 
fil_1006: highway located entirely; western edge; united states and canada; robert curthose; motion of no confidence was passed; 
fil_1007: sjã¶gren's syndrome; lacrimal glands; augustâ 29; simply trying; enjoyed considerable popularity; 
fil_1008: 25th round; knockout stage; ncaa division i fcs; canton of valais; band's third studio; 
fil_1009: spent a weekend; drug enforcement administration; use the restroom; album two stars; dollar bill; 
fil_101: grilled cheesus; established in 1956; federated states of micronesia; federated states; college football rivalry game; 
fil_1010: broom park; parent plant; half a millimeter; occur widely; last decade; 
fil_1011: form of newspaper clippings; alaska department; locality situated; unarmed combat; late night television; 
fil_1012: bachelor's degree in mechanical engineering; colorado at boulder; mediterranean deployment; earned a master's degree; twilight zone; 
fil_1013: blacksmith shop; fire raged; great demand; states census bureau; racial makeup of the township; 
fil_1014: conventional medicine; philadelphia and baltimore; baja california; duke and duchess; born april 29; 
fil_1015: chong fung yuen; pablo cruise; give thankx; david mamet's; minor counties cricket; 
fil_1016: copyrightable works; pfarrer initiative; dissident clergy; formed in 2005; restore the reef; 
fil_1017: casimir iv jagiellon; premiered on july 28; app store; nick jr; among the founders; 
fil_102: northern iowa; late 1950s; paul peterson; tretyakov gallery; outer rim; 
fil_1020: long pointed nose; primary objective; dionne warwick; fell to earth; harry belafonte; 
fil_1021: ð ð¤; ï† centauri; î– plus a1; ç´…é ­å·¾; åšwiä™tokrzyskie voivodeship; 
fil_1022: 2011â€“12 serie; waltzing matilda; richard allen homes; magic ajji; cam and petrina; 
fil_1025: queueing theory; cfb gagetown; royal canadian navy; repechage bout; won a bronze medal; 
fil_1026: northwestern portion; illustrators and photographers; golden boy; run for reelection; moth of the geometridae; 
fil_1027: soamiji maharaj; radhasoami faith; journal of biogeography; oriental and african studies; game of the century; 
fil_1029: nrl grand final win; brisbane broncos season's; cronulla sharks; opening try; v8 supercar; 
fil_103: dionne warwick; practical application; fell to earth; sanctuary and chapels; rational animal; 
fil_1033: unitary authorities; saudi novelists; indianapolis 500; capital of the province; nick cave and the bad seeds; 
fil_1035: contributing editor; roc embassy; alchemical vessel; kiwi sheepherders; awa southern tag team championship; 
fil_1039: chicago bears; focal point; currently a free agent; giro d'italia; nfl draft; 
fil_104: french professional football player; wally lewis; scholarship to study; win a game; 1992 to 1994; 
fil_1040: reversible change; inorganic compounds; late 1880s; electromagnetic radiation; grandes vacances; 
fil_1041: stray voltage; paul klee; jodie s; der sturm; ensta bretagne; 
fil_1043: ãlvaro de bazã¡n; tian dan; herschel space observatory; gerold and urich; conjunctive query; 
fil_1044: previous two films; northern shore; given the task; wonderful life; youngest daughter; 
fil_1045: published by nintendo; monolith soft; alexander the great; contract extension; class honours degree; 
